"Device","Kernel","Invocations","Event Name","Min","Max","Avg","Total"
"Tesla V100-SXM2-16GB (0)","void at::native::_GLOBAL__N__50_tmpxft_000002d2_00000000_6_MaxPoolUpSample_cpp1_ii_f4a1d887::MaxPoolForward<float, float>(int, float const *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, at::native::_GLOBAL__N__50_tmpxft_000002d2_00000000_6_MaxPoolUpSample_cpp1_ii_f4a1d887::MaxPoolForward<float, float>*, long*)",1,"elapsed_cycles_pm",105371288,105371288,105371288,105371288
"Tesla V100-SXM2-16GB (0)","void at::native::MaxPoolForward_batch_norm_collect_statistics_kernel_fused_kernel_hfuse_bar_sync_idx_0<float, float, at::native::InvStd, float, float, float, int>(int, float const *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, at::native::MaxPoolForward_batch_norm_collect_statistics_kernel_fused_kernel_hfuse_bar_sync_idx_0<float, float, at::native::InvStd, float, float, float, int>*, long*, at::PackedTensorAccessor<float, unsigned long=3, at::RestrictPtrTraits, int>, float, at::PackedTensorAccessor<float, unsigned long=3, at::RestrictPtrTraits, int>, long*, float, long*, long*)",1,"elapsed_cycles_pm",176327282,176327282,176327282,176327282
"Tesla V100-SXM2-16GB (0)","void at::native::_GLOBAL__N__50_tmpxft_000002d2_00000000_6_MaxPoolUpSample_cpp1_ii_f4a1d887::MaxPoolForward_upsample_bilinear2d_out_frame_fused_kernel_hfuse_lb_imba_idx_0<float, float, float, float>(int, float const *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, at::native::_GLOBAL__N__50_tmpxft_000002d2_00000000_6_MaxPoolUpSample_cpp1_ii_f4a1d887::MaxPoolForward_upsample_bilinear2d_out_frame_fused_kernel_hfuse_lb_imba_idx_0<float, float, float, float>*, long*, int, float, long*, bool, at::PackedTensorAccessor<float, unsigned long=4, at::DefaultPtrTraits, long>, at::DefaultPtrTraits)",1,"elapsed_cycles_pm",159872208,159872208,159872208,159872208
"Tesla V100-SXM2-16GB (0)","_ZN2at6native84kernelHistogram1D_upsample_bilinear2d_out_frame_fused_kernel_hfuse_lb_bar_sync_idx_0IfflLi1ELi2ELin1ELNS0_23CUDAHistogramMemoryTypeE0EKZZZNS0_20_histc_cuda_templateIfEESt5tupleIJNS_6TensorES5_EERKS5_lT_S9_S8_N3c108ArrayRefIlEEbENKUlvE_clEvENKUlvE0_clEvEUllE_ffEEvNS_4cuda6detail10TensorInfoIS9_T1_EESL_NSJ_IT0_SK_EEiSM_SM_SK_T6_iT8_SP_bNS_20PackedTensorAccessorIT7_Lm4ENS_16DefaultPtrTraitsElEEST_",1,"elapsed_cycles_pm",225865124,225865124,225865124,225865124
"Tesla V100-SXM2-16GB (0)","_ZN2at6native82kernelHistogram1D_batch_norm_collect_statistics_kernel_fused_kernel_hfuse_lb_idx_0IfflLi1ELi2ELin1ELNS0_23CUDAHistogramMemoryTypeE0EKZNS0_17_histc_cuda_fusedIffiEESt5tupleIJNS_6TensorES5_EERKS5_lT_S9_S8_dEUllE_NS0_6InvStdEfffiEEvNS_4cuda6detail10TensorInfoIS9_T1_EESH_NSF_IT0_SG_EEiSI_SI_SG_T6_NS_20PackedTensorAccessorIT8_Lm3ENS_17RestrictPtrTraitsET11_EET10_SQ_NSL_IT9_Lm1ESN_SO_EESS_NSL_ISQ_Lm1ESN_SO_EEST_",1,"elapsed_cycles_pm",257622376,257622376,257622376,257622376
"Tesla V100-SXM2-16GB (0)","_ZN2at6native72kernelHistogram1D_upsample_bilinear2d_out_frame_fused_kernel_vfuse_idx_0IfflLi1ELi2ELin1ELNS0_23CUDAHistogramMemoryTypeE0EKZZZNS0_20_histc_cuda_templateIfEESt5tupleIJNS_6TensorES5_EERKS5_lT_S9_S8_N3c108ArrayRefIlEEbENKUlvE_clEvENKUlvE0_clEvEUllE_ffEEvNS_4cuda6detail10TensorInfoIS9_T1_EESL_NSJ_IT0_SK_EEiSM_SM_SK_T6_iT8_SP_bNS_20PackedTensorAccessorIT7_Lm4ENS_16DefaultPtrTraitsElEEST_",1,"elapsed_cycles_pm",180946804,180946804,180946804,180946804
"Tesla V100-SXM2-16GB (0)","void at::native::im2col_kernel_MaxPoolForward_fused_kernel_hfuse_idx_0<float, float, float>(long, float const *, long, long, long, long, long, long, long, long, long, long, long, long, at::native::im2col_kernel_MaxPoolForward_fused_kernel_hfuse_idx_0<float, float, float>*, int, float const *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, at::native::im2col_kernel_MaxPoolForward_fused_kernel_hfuse_idx_0<float, float, float>**, long*)",1,"elapsed_cycles_pm",167016388,167016388,167016388,167016388
"Tesla V100-SXM2-16GB (0)","void at::native::upsample_bilinear2d_out_frame_batch_norm_collect_statistics_kernel_fused_kernel_hfuse_lb_bar_sync_idx_0<float, float, at::native::InvStd, float, float, float, int>(int, float, at::native::upsample_bilinear2d_out_frame_batch_norm_collect_statistics_kernel_fused_kernel_hfuse_lb_bar_sync_idx_0<float, float, at::native::InvStd, float, float, float, int>, bool, at::PackedTensorAccessor<float, unsigned long=4, at::DefaultPtrTraits, long>, at::DefaultPtrTraits, float, float, float, float, float, float, float)",1,"elapsed_cycles_pm",585005900,585005900,585005900,585005900
"Tesla V100-SXM2-16GB (0)","void at::native::im2col_kernel<float>(long, float const *, long, long, long, long, long, long, long, long, long, long, long, long, at::native::im2col_kernel<float>*)",4,"elapsed_cycles_pm",63618346,63983914,63834081,255336326
"Tesla V100-SXM2-16GB (0)","_ZN2at6native62kernelHistogram1D_MaxPoolForward_fused_kernel_hfuse_imba_idx_1IfflLi1ELi2ELin1ELNS0_23CUDAHistogramMemoryTypeE0EKZZZNS0_20_histc_cuda_templateIfEESt5tupleIJNS_6TensorES5_EERKS5_lT_S9_S8_N3c108ArrayRefIlEESC_SC_SC_bENKUlvE_clEvENKUlvE0_clEvEUllE_ffEEvNS_4cuda6detail10TensorInfoIS9_T1_EESL_NSJ_IT0_SK_EEiSM_SM_SK_T6_iPKT7_iiiiiiiiiiiiiiPSP_Pl",1,"elapsed_cycles_pm",179114756,179114756,179114756,179114756
"Tesla V100-SXM2-16GB (0)","_ZN2at6native82kernelHistogram1D_batch_norm_collect_statistics_kernel_fused_kernel_vfuse_lb_idx_0IfflLi1ELi2ELin1ELNS0_23CUDAHistogramMemoryTypeE0EKZNS0_17_histc_cuda_fusedIffiEESt5tupleIJNS_6TensorES5_EERKS5_lT_S9_S8_dEUllE_NS0_6InvStdEfffiEEvNS_4cuda6detail10TensorInfoIS9_T1_EESH_NSF_IT0_SG_EEiSI_SI_SG_T6_NS_20PackedTensorAccessorIT8_Lm3ENS_17RestrictPtrTraitsET11_EET10_SQ_NSL_IT9_Lm1ESN_SO_EESS_NSL_ISQ_Lm1ESN_SO_EEST_",1,"elapsed_cycles_pm",245518678,245518678,245518678,245518678
"Tesla V100-SXM2-16GB (0)","void at::native::im2col_kernel_batch_norm_collect_statistics_kernel_fused_kernel_hfuse_lb_idx_0<float, at::native::InvStd, float, float, float, int>(long, float const *, long, long, long, long, long, long, long, long, long, long, long, long, at::native::im2col_kernel_batch_norm_collect_statistics_kernel_fused_kernel_hfuse_lb_idx_0<float, at::native::InvStd, float, float, float, int>*, at::PackedTensorAccessor<float, unsigned long=3, at::RestrictPtrTraits, int>, float, at::PackedTensorAccessor<float, unsigned long=3, at::RestrictPtrTraits, int>, at::native::im2col_kernel_batch_norm_collect_statistics_kernel_fused_kernel_hfuse_lb_idx_0<float, at::native::InvStd, float, float, float, int>*, float, at::native::im2col_kernel_batch_norm_collect_statistics_kernel_fused_kernel_hfuse_lb_idx_0<float, at::native::InvStd, float, float, float, int>*, at::native::im2col_kernel_batch_norm_collect_statistics_kernel_fused_kernel_hfuse_lb_idx_0<float, at::native::InvStd, float, float, float, int>*)",1,"elapsed_cycles_pm",296011572,296011572,296011572,296011572
"Tesla V100-SXM2-16GB (0)","_ZN2at6native56im2col_kernel_kernelHistogram1D_fused_kernel_hfuse_idx_1IffflLi1ELi2ELin1ELNS0_23CUDAHistogramMemoryTypeE0EZZZNS0_26_histc_cuda_template_fusedIfEESt5tupleIJNS_6TensorES5_EERKS5_lT_S9_S8_N3c108ArrayRefIlEESC_SC_SC_ENKUlvE_clEvENKUlvE0_clEvEUllE_EEvlPKS9_llllllllllllPS9_NS_4cuda6detail10TensorInfoIT0_T2_EESO_NSL_IT1_SN_EEiSP_SP_SN_T7_",1,"elapsed_cycles_pm",223600306,223600306,223600306,223600306
"Tesla V100-SXM2-16GB (0)","_ZN2at6native84kernelHistogram1D_batch_norm_collect_statistics_kernel_fused_kernel_hfuse_imba_idx_1IfflLi1ELi2ELin1ELNS0_23CUDAHistogramMemoryTypeE0EKZNS0_17_histc_cuda_fusedIffiEESt5tupleIJNS_6TensorES5_EERKS5_lT_S9_S8_dEUllE_NS0_6InvStdEfffiEEvNS_4cuda6detail10TensorInfoIS9_T1_EESH_NSF_IT0_SG_EEiSI_SI_SG_T6_NS_20PackedTensorAccessorIT8_Lm3ENS_17RestrictPtrTraitsET11_EET10_SQ_NSL_IT9_Lm1ESN_SO_EESS_NSL_ISQ_Lm1ESN_SO_EEST_",1,"elapsed_cycles_pm",306229126,306229126,306229126,306229126
